asset,2025-12-01,2025-12-02,2025-12-03,2025-12-04,2025-12-05,2025-12-08,2025-12-09,2025-12-10,2025-12-11,2025-12-12,2025-12-15,2025-12-16,2025-12-17,2025-12-18,2025-12-19,2025-12-22,2025-12-23,2025-12-24,2025-12-25,2025-12-26,2025-12-29,2025-12-30,2025-12-31,2026-01-01,2026-01-02,2026-01-05,2026-01-06,2026-01-07,2026-01-08,2026-01-09,2026-01-12,2026-01-13,2026-01-14,2026-01-15,2026-01-16,2026-01-19,2026-01-20,2026-01-21,2026-01-22,2026-01-23,2026-01-26,2026-01-27,2026-01-28,2026-01-29,2026-01-30,2026-02-02,2026-02-03,2026-02-04,2026-02-05,2026-02-06,2026-02-09,2026-02-10,2026-02-11,2026-02-12,2026-02-13,2026-02-16,2026-02-17,2026-02-18,2026-02-19,2026-02-20,2026-02-23,2026-02-24,2026-02-25,2026-02-26,2026-02-27
K15,43,48.51,59.34,26.5,57.33,13.33,44.79,44.67,46.67,15.33,65.84,6,49,66.84,18.17,27.67,0,0,0,0,0,17.67,0,0,3.33,3.33,0,78,43,40.83,59.24,58.17,45.84,58.5,58.67,41,48,72.17,65.84,59.17,61.31,35,48.84,48,42.34,15,43.34,57.58,36.33,25.5,44.33,68.5,45.87,31.17,80.52,43.16,53.84,34,46.33,5.83,55.17,35,54.17,30,0
Ahma,0,55.13,26.83,7.5,0,41.17,54.67,47.34,35.83,29,33.17,41.33,40,54.67,17,0,0,0,0,0,0,0,0,0,0,0,0,52.17,31.83,0,50.9,48.17,68.84,84.07,3.17,72.33,0,72.83,44,20.33,24.17,18.83,44.67,33,48.17,22.17,50.67,48.83,27.83,34.67,57.16,59.33,35.67,39.83,26,40.17,46,23.33,56.83,0,38.17,65.67,20.67,66.33,52.5
K16,0,5.17,11.33,10.67,7.83,1,0.83,1.33,26.33,0,1,20.83,5.5,8.84,0,0.83,0,0,0,0,0,0,0,0,0,2.5,0,11.33,0.33,0,0,0,0,0,0,0,0,0,0,0,0,4.77,17.59,12.01,4.67,0,2.17,16.17,5.33,0,1.67,9,6.67,2.33,2.33,10.83,1.67,0.67,6.17,9,0,0.67,5.17,6.33,7.33
Susi,18.5,32.34,57.9,72.17,0,32.67,44,40.67,58.67,0,8.5,31,34,43.17,9.5,11.17,0,0,0,0,0,0,0,0,0,19,0,48,41.5,10.33,43.5,64.34,28.5,31,35.33,33.84,50.67,36,42,0,29.84,50.34,68.67,38.17,26.67,20.67,46.17,38.67,30.84,32,16.17,58.83,29.33,33,18,32.5,14.67,32.83,34.67,9.17,22.17,0,28,37.84,0
K9,47.17,32.67,62.17,67.67,56.24,18.83,9.67,25.83,42,1.33,23,26.17,24.84,49.5,34.67,4.17,0,0,0,0,1.5,18.19,0,0,0,7.34,0,12.5,23.5,62.62,45.09,35.08,25.17,0,0,56.54,10.5,12.33,13.83,17.5,36.33,53.5,58.67,38.67,25.17,0,14.5,18.5,38.5,25.83,34.53,47.69,42.67,82,34,57.34,27.67,18.83,22.5,37.17,36.17,45.34,48.74,40,16.67
K14,48.41,43.34,56,57.34,63.67,41,63,58.17,53,16.17,42.84,60.29,44.5,67.78,36.33,41.34,0,0,0,0,46.01,4.67,0,0,0,21.17,0,54.51,70.17,41.5,66.43,72.34,58.67,66.17,44.5,53.5,69.2,52.67,65.17,52.17,45,54.17,55.34,36.17,69.67,15,47.67,60.84,67.17,31.33,53.33,78.71,62.5,61.69,32.17,76.83,50,55.33,48.5,25.5,39.83,19.5,47.6,34.67,24.67
Mustikka,41,71.45,68.83,45.67,0,65.5,40,62.5,60.17,54.34,53.01,46,49.5,39.34,57.33,16.5,8.17,0,0,0,0,0,0,0,1.17,14.83,0,65.33,72.84,25.98,50.83,67,73.61,56.34,40.17,32.74,63.23,36,56.89,34,62.34,62.85,58.84,66.5,40.17,0,64.46,77.5,74.94,52.17,48.34,65.34,68.34,73.5,18.34,36.34,51.67,68.17,47.67,18.5,23.84,76.34,56.17,51.33,27.83
Hirvi,16.67,50.67,29.67,25.67,2,24.33,49.83,32.67,31.34,0,22.83,43,51.5,51.34,1.67,1.83,0,0,0,0,0,0,0,0,0,0,0,38.17,13.83,15,48.67,38.34,31.5,25.67,0,60.43,48.34,63.17,44.17,0,28,36.33,33,25.17,17.17,34.5,33.5,65.5,30.84,15,0,63.58,50.5,66,24,53.17,25.5,35.83,42.5,0,50.34,31.5,56.67,6.83,0
K1,12.34,27.67,47,40.34,29.67,31.34,15.17,43.84,45.34,36.84,65.5,38.34,33.34,63.4,10.67,0,2.34,0,0,0,14.5,0.5,0,0,0,0,0,54,22.33,34.17,40,39.5,22.67,18.33,59.84,32.33,18.83,29.67,36,0,32,20.67,36.5,22.83,14.17,10,37.5,34.17,24.67,42.5,59.83,44,61.76,44.67,15.33,57.34,21,34.5,25.17,11.67,41.84,42,50.32,45.5,11.33
Sammal,17.17,55.83,62.33,29.17,2,49.67,81.66,67.16,0,6,71.5,16.67,46.83,46.83,38.33,0,0,0,0,0,0,0,0,0,0.67,0,0,48.67,58.5,33.58,57.67,71.5,40.93,63.1,35.67,59.5,49,58,33.29,27.17,19.17,48.17,37.83,48.33,21.5,48.5,56.83,46.17,38.84,37.83,9.67,59.17,55.5,20,0,51.17,56.5,62.17,61.71,25.55,0,66.34,63.33,19,0
K13,47.17,37.83,42.84,38.33,20,39.67,25,53.01,50.34,1.17,44.33,54.83,40.17,46.23,0.33,0,0,0,0,0,0,26.34,0,0,0,27.17,0,49.83,34.17,33.84,45.17,48.17,58.84,38.5,37.83,49.67,35.17,44,28.5,20.83,46.5,41.17,53.17,52.17,13,15.67,29.99,54,27.34,9,27.84,49.83,67.67,33.33,0,56.83,29.67,28.66,52,33.17,17.67,24.5,49.67,18.33,15.33
Varpu,44.83,25.89,72.5,45,43.17,40.06,65,61,59.33,26.67,49.5,67,58.67,61.17,39.5,0,0,0,0,0,0,0,0,0,0,0,0,32.5,71.67,51.5,41.17,68.5,69,70.81,65.67,34.49,72.66,73.67,48.16,74.49,45.5,76.84,21.5,68.67,42.5,64,61.52,63,59.36,61.66,45,66.33,55.5,59.16,31.33,59.49,61,71.72,57.33,0,68.23,81.9,62.17,12,12.83
K10,31.83,36.5,36.84,39,22.83,19.67,29.96,28,29,12.67,13.5,26.17,18.33,71.17,0,0.5,5.84,0,0,0,0,0.83,0,0,0,0,0,45.33,17.67,1.5,42,30.67,28.17,13,11.67,29.5,15.5,36.17,35.84,0,30.67,26.33,50.5,33.33,53.17,0,21.83,42.83,35.67,10.33,40.33,33.33,40.34,35.84,3.83,38.5,26.83,16.83,47,0.67,20.5,26.67,22.83,11.67,0
Coffee lounge,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Jäkälä,40.67,39.5,60.34,35.83,0,35.4,64.84,15.83,53.34,0,0,58.84,50.84,57.34,12.5,16.67,0,0,0,0,7,22.34,0,0,0,0,0,39.34,48.01,26.83,43.44,64.6,50.84,71.59,28.67,49.17,78.21,30.17,28,25.17,15.17,37.67,58.17,66.34,37,0,59.59,41.17,57.17,26.83,18.5,43.5,46.17,47.67,0,33.5,70.51,41.34,54.46,18.5,39.5,45.67,18.67,38.34,27.67
K11,35.83,50.58,70.67,55.34,27.17,44.67,19,43,41.5,27,54.15,30.33,29.5,54.33,27.67,3,0,0,0,0,35.83,33.34,0,0,0,2.33,0,73.81,63.84,23.5,61.67,71.6,60.17,61,30.5,36.84,53.5,53.67,51.17,20.69,37.67,16.49,81.99,72.83,54.17,33.34,41.17,54.17,57.5,57.33,59.67,61.66,84.05,57.67,50.17,62.67,42.33,44.17,52.34,70,31.5,44.5,61.29,40,31.6
Naava,13,20.83,66,60.84,69.5,56.67,68,55.17,52.67,49.5,31,70.38,37.34,66.17,0,9.83,0,0,0,0,0,0,0,0,0,15.5,0,58.5,53.67,38.06,50,62,57,66.7,56.83,65.17,65.01,75,86.99,43.16,27.14,61.84,61.84,64.01,23,32.67,55.84,47.5,41.24,41.33,57.5,66.16,36,66.66,21.33,47.33,61.84,90.84,74.66,15.49,28.83,82.34,61.67,17.67,0
K12,51.34,50.5,65.17,59.5,20.33,40.33,36.84,45.17,49.34,33,46,47,72.67,62.17,20,23.84,47.17,0,0,0,59,10.5,0,0,0,0,0,58.5,52.5,54.73,48.33,71.17,63.83,49.34,35,65.67,58.83,59.17,62.5,35.17,50.77,29.83,70.84,60,37.5,51.34,58.21,41.17,86.36,42.5,53.17,57.5,61.5,40.67,52.83,72.62,58.34,72.66,44.34,15.33,12.83,54.17,52,18.5,0
Joutsen,5,14.67,10.67,0.33,0.83,16.34,28.5,14,31.84,0,14.33,18.67,15,2,0,0,0.5,0,0,0,0,0,0,0,0,0.83,0,33.5,18.67,0.33,5.17,0,25.17,8.33,0.83,7.33,63.67,8.83,39.17,0,19.17,42.01,27.17,25.33,0,0,41.84,36.34,42,36.34,18.33,17.17,8,45.84,17.67,4,0,34.83,36.17,17.5,1,0,11.5,17.5,3.33
Hilla,15.67,31,31.84,32.17,0,42.67,28.67,45.5,32.84,27.83,13.17,38,50.17,49.34,10,0,0,0,0,0,0,0,0,0,4,0,0,51.17,27.5,0,71.01,60.5,72.5,29.5,4.67,10.67,39,33.83,57.61,10.83,35.17,32.83,59.5,48,21.33,16.84,57.84,48.84,46.5,33.5,30.5,30.5,37,60.67,56.67,26.5,44.34,71.67,51.34,5,0,24.67,46.67,45.83,8.17
Norppa,60,49.5,30.5,79,63.62,38,50.8,65.5,58.17,23.5,64.5,50.33,67.33,77,0,16.83,0,0,0,0,0,0,0,0,0,0,0,55.56,50.67,19.9,60.83,66.91,27.91,24.17,0,57.83,35.83,47.17,49.83,27.17,66.46,37.17,50.33,66.13,0.33,46.5,47.84,63.67,11.5,51.17,43.33,62.5,73.83,16.33,15.33,65.17,56.53,70.86,41.33,46.17,0,42.67,74.56,17.83,0
Tyrni,37.17,17.33,30.83,48.33,21.17,34.83,19.83,19.34,27.83,18.33,19,27,68.67,59.31,0,0,20.83,0,0,0,0,1.67,0,0,0,0,0,21.83,5.5,0,30.17,32,40.06,24,6.17,16.33,40.83,49.17,52.67,21.33,10.5,17.5,31.83,61,23.67,24.67,29.33,36.5,33.67,10,33.5,26,26.5,45.67,29.33,54.17,51.5,54.5,69.5,0,12.5,21.5,24.17,17.17,0
Siili,9.83,43.17,65.33,60.82,27.31,68.17,71.62,41.5,63.34,4.67,21.74,61.67,49.23,61.34,0.5,0.67,0,0,0,0,30.33,0,0,0,0,18.5,0,74.34,48.67,0,77.17,67.03,71.53,89.86,34,52.84,80.01,45.17,71.51,16.33,32.77,63.5,51.59,62.34,0.5,36.83,44.05,36,70.87,29.67,48.67,69.33,26.66,0,29.17,79.29,29.45,0,23.5,46.5,25.67,61.5,80.73,64.72,0
Neva,54.67,5.17,5,52.33,57.17,43.02,48.67,65.35,38.34,16,45.83,62.33,60.33,40.5,17.17,22.17,0,0,0,0,5.67,2,0,0,5.67,0,0,7.67,19.17,35.67,22.33,23.67,0,44.5,50.83,25.5,52.25,56.83,40.17,8.67,59.67,23.17,69.17,47,14.83,9.17,46.27,53.83,58.67,0,33.83,32,39.17,56.67,0,23.33,46.5,53.13,62.5,4.84,0,0,5.67,65.83,0
