asset,2024-01-01,2024-01-02,2024-01-03,2024-01-04,2024-01-05,2024-01-08,2024-01-09,2024-01-10,2024-01-11,2024-01-12,2024-01-15,2024-01-16,2024-01-17,2024-01-18,2024-01-19,2024-01-22,2024-01-23,2024-01-24,2024-01-25,2024-01-26,2024-01-29,2024-01-30,2024-01-31,2024-02-01,2024-02-02,2024-02-05,2024-02-06,2024-02-07,2024-02-08,2024-02-09,2024-02-12,2024-02-13,2024-02-14,2024-02-15,2024-02-16,2024-02-19,2024-02-20,2024-02-21,2024-02-22,2024-02-23,2024-02-26,2024-02-27,2024-02-28,2024-02-29
K5,0,26.83,58.48,43.84,20,31.17,55.84,62.1,68,39.17,45.5,30.5,47.21,49,36.83,71.5,55.33,72.83,36.67,51.84,73.17,48.28,61.17,60.67,31.83,73.23,58,56.5,61,49.33,62.33,55.84,61.66,44.17,32,37.67,62.95,70.11,63.83,43.17,7.33,43.17,14.83,22.34
K6,0,14.17,17.16,40.33,29.5,39.67,68.1,54.76,70.34,36.5,36.5,41.5,40.5,54.03,43.5,61.84,55.33,46.67,39.33,36.67,56.93,55.17,48.67,70.07,27.67,40.34,33.34,55.33,50.83,12,44.81,51.17,38.17,54.5,53.17,58.84,52.17,66.34,46.34,43.84,5.67,38.84,22,29.5
K8,0,16.17,43.17,67.17,40.5,26.5,45.5,51,32.83,55.5,34.84,26.67,33.34,42.1,38.84,45.17,46.83,52.67,22.17,30.67,42.67,38,43.5,43.17,42,16.33,34.33,54.17,50,31.5,31.17,69.34,18.67,38.83,50.5,54.5,32.67,24.17,52.34,33.17,18.67,30.34,23.67,39.33
K7,0,11,10.5,21.83,1.67,9.5,25,25.17,28,20.5,25.33,2.16,10.5,17.66,3.5,14,28.33,11.17,16.5,11.5,17,6.83,34.83,16.17,4.33,14.83,11.66,22.83,33.83,1.33,2.17,45.84,7.5,14.17,8.83,39,13.5,28,17.5,11.5,23.5,16.5,16,10.67
K15,0,19,44.5,52,10.17,36.67,31.5,42.49,58.17,55.17,43.34,48.5,49.51,53.27,54.17,36.67,53.84,50.83,23.67,41,37.17,50.84,35,54.83,36.84,48.17,62.5,55,49.84,21.17,23.17,18.5,12.33,33.34,17.67,51.55,52,40.5,45.67,33.34,24.84,82.34,45,50.33
Ahma,0,3.5,36,27,15.17,38.33,53.27,48.84,26.67,0,53,57.67,57.83,52,46,57.81,79.67,67.5,15.5,33.83,40.67,54.67,49.17,58.5,29.83,18,78.5,66.66,57.17,54.67,43.86,39.83,61.5,30.67,35.17,44.83,54.55,30.33,50.83,42.33,15.33,62.33,30,15.67
K16,0,1.17,22.83,7.17,1.5,1.83,12.83,17.67,22.83,1.33,5.83,23,27.9,8.83,22.17,24.33,9.33,19.5,6.83,10.83,20.5,28.84,33,21.33,9,21.67,27.01,26.67,4,0,3.67,28.33,12.67,9.17,5.33,33.34,27.5,24.5,8.17,6,3.5,5.67,19.83,2.67
Susi,0,7.83,66.84,42.5,10.67,21.5,60.5,41,32.83,0,40.67,41,31,0,0,41,67.67,24.84,34.83,58.67,11.5,31.5,64.51,38.5,25.17,20.67,42.67,53.34,37.17,51.5,27.5,37.83,20.31,28.17,50.17,53.78,41,34.17,13.5,18.67,39.17,68,54.01,47.33
K9,0,33.34,44.34,56.17,2.17,56.01,34.17,34,62.5,17.67,20.17,30.17,62,17.83,73,62.5,71.07,57.17,37.5,54.17,43,19,38.5,53,74.82,26.83,11.67,26.17,34.17,0,45.74,40.34,19.83,2,0.67,50.84,73.18,57.17,54.34,4.83,33,56.62,39.84,28.33
K14,0,26.17,40.44,33.5,23.26,27.5,47,57.51,76.89,46,45.67,47.67,68.68,82.67,62.34,42.34,65.17,72.5,39.84,49,71,62.33,53.84,67.9,34.67,62.2,59.5,61,70.34,40.34,53.84,62.5,66.5,46.5,45.84,66,55.17,52.91,57.34,55,22.17,72.37,43.5,49.34
Mustikka,0,32.67,54.34,60.84,32.17,57.5,36.67,75.67,72.34,45.83,54.6,38.84,72.17,78.67,58.83,53.67,70.37,73.7,64,56.5,77.34,68.65,69.64,62.5,65,42.17,73.67,44.17,26.83,74.17,79.17,79.21,12.67,50.83,46.34,62.67,45.99,76.34,39.33,51.84,38.5,51.17,56,17.83
Hirvi,0,0,23.33,10.67,0,2.17,18,70.83,27.66,0,19.83,48.84,51.67,54.41,39.5,72.04,34.34,46.17,34.67,30.17,27.83,32.51,47.84,54.84,55.5,43.1,49.33,22.33,44,29,50,45.67,12,43.5,63.84,45.01,44.67,54.17,52.5,9.5,58.34,44.5,35.24,5.83
K1,0,18.67,30.17,58,11.84,62.5,71.86,65,49.5,43.17,43.17,41.83,50,43.16,46.67,64.83,66.83,42,64.23,45.01,34.84,44.67,57.01,60.17,27.84,51.17,40.33,50.34,80.34,54.34,25.5,45.34,4.5,41.5,35.34,47.17,41.17,41.84,51.01,66.34,51.17,48.51,0,40.5
Sammal,0,0,9.83,53.63,60.5,61.17,52.33,70.5,29.16,49,53.16,30.83,54,70.34,49.5,36,52.36,67.19,61.33,16,16.33,64.38,63.33,60.67,20.17,46.83,67.33,42.67,57.5,72,51,18.17,52,41.34,43,55.78,41.94,73.83,72.62,32,51.17,38.83,34.47,60.67
K13,0,53.84,32.5,49.91,6.33,10.5,72.55,52.88,44.54,57,38.5,52.17,49.5,31.17,40.67,58,47.63,63.96,54.95,45.17,63.34,37,57.74,47.17,36.33,61.34,43.2,42.33,57.34,32.84,32.83,38.84,56.67,47.67,25.33,72.34,60.5,80.11,54,43.51,28,44.34,66.23,41
Varpu,0,39,22.33,79.87,21.17,52.38,56.67,66.33,45.38,54.66,64.33,51,47.17,48.66,35,18.07,69.74,0,77.08,29.67,86.59,73.26,64.26,46.66,70.17,74.6,72.5,74.83,67.33,64.83,57.83,64,80.67,57.33,36,29.83,72.8,72.17,78.83,60.67,59.83,66.5,0,0
K10,0,0.67,15.5,27.17,3.17,27,68.62,38.5,47.33,38.17,5.84,38,34.67,31.17,35.17,24.17,56.36,62.17,17.83,53,55.67,64.84,63,37,12,58.13,56.12,39.17,59.34,47.5,40.83,37,56.5,20.17,27.5,47.34,46.84,73.7,26.17,25.5,29.17,43.5,35.17,24.34
Coffee lounge,0,72.31,76.48,86.01,63.67,80.85,88.35,88.03,87.2,74.17,94.56,79.57,83.07,86.83,80.83,88.44,88.28,84.88,90.63,70.33,74.67,90.17,93.33,87.33,68,82.5,89.5,89.33,84.78,65.17,84.01,86.25,87.09,81.17,78.84,82.63,90.63,86.34,79.34,76,79.67,76.15,86.69,72.67
Jäkälä,0,0,70,31.33,0,50.34,70.17,48.17,69.84,18.33,69,77.63,70.95,58,54.17,66.84,73.4,70.89,69.05,14.17,65.85,68.83,39.17,68.66,41,87.34,60.34,74.01,45.17,51.5,53.17,51,69.34,49.17,36.67,67.67,78.84,70,68.5,49.67,69.67,69.5,62.84,53.84
K11,0,1.83,21.83,48.82,0,40.33,57.33,49.28,50.83,35.84,44.17,41.5,53.56,43.67,36.5,71.34,61.34,55.17,24.5,42.83,55.67,29.83,57.34,55.84,39.67,53.5,34.5,58,58,37.67,56.54,70.2,41.5,40.83,49.34,38.34,48.33,56.68,31.84,54.83,68.44,68.01,46.34,63.09
Naava,0,47.17,53.84,31.5,0.33,52.5,69.67,67.46,81.5,48,31.17,71.67,54.5,80.17,41.67,59.67,75.73,40.56,54.72,45.67,63.17,77.36,63.86,65.02,53.84,74.5,83,74.17,57.67,47.67,72,68.67,68.17,60.67,55.67,60.5,72.42,70.67,63.67,27.84,54.17,60.17,70.5,28.33
K12,0,73.77,54.5,23.33,75.24,64.17,50.17,68.01,59.87,71.17,68.17,40.34,60.83,59.84,75.67,49.51,59.17,73.84,54.34,67.17,78.17,75.23,56.5,72.22,56.67,56.5,64,57,61.01,40.17,66.67,55.84,18.83,54.17,45.67,45.17,80.08,51.83,40,70.51,47.5,83.03,32.33,58.5
Joutsen,0,10.48,1,12,0.5,13,44.83,34.5,43.17,0.33,45.5,28.33,38,46.5,52.83,52.17,17,54.17,11.33,2.83,42.5,49.5,19.34,38.33,0,50.59,4.83,44.67,8.17,0,30,54,15.33,11.67,9.33,42.5,55.17,27.17,0.83,31.67,21,32.84,13.67,2.84
Hilla,0,11.83,58,27.34,42.83,51,50.84,37.5,26.17,39.33,49.67,50,54.66,44,15.5,26,17.33,61.67,28,23.5,56,32.5,11.83,15,52,43.5,37.5,16.67,32.17,31.67,30.84,23.83,50.33,48.34,24.67,61.17,48.34,45.67,41.83,23.33,17.83,23,10.33,14.5
Norppa,0,65.01,7.33,68,0,58.33,58.83,57,58.88,36.33,61.89,13.5,64.67,41.9,53.5,35,54.58,33.09,34.5,37.26,55.67,59,51.83,73,44,25.83,44.83,26.83,49.5,46.84,63.33,41,29.5,33,46.5,62.17,34.17,62.51,41.83,0,27.17,17.7,54.2,38.5
Tyrni,0,0,1.17,11.67,0,20.5,31.67,42,26.33,10.33,32.66,58.66,40.61,52.23,32.67,43.16,59.91,44.33,75.5,20.5,28.5,20.83,62.83,43.01,29.67,70.12,15.5,69.67,40,13.67,21.17,27.67,17.83,47.17,37.33,60,25,54.67,19.67,11.83,24.17,0.33,2.5,27.17
Siili,0,60.17,2.17,48.17,0,69.58,41.5,63.56,64,34.67,53.34,65.5,68,69,69.01,52.5,42.48,75.14,54.13,39,44.67,78.93,59.09,31.91,36.57,48.17,75.67,44.33,77.5,42.17,67.84,74.17,57.5,13.5,36.98,67.17,69.62,83.62,62.11,43.17,56.58,11.5,59.67,38.5
Neva,0,0,35.33,50.83,22,16.33,70.78,3.5,46.17,54,44.66,34.83,0,69.66,48.5,31.33,28.83,58.3,66.5,44.5,44,24.67,47.67,55.5,1.33,52.65,39.33,27.17,28.33,30.84,43.33,43.83,44.5,32.83,27.17,41.83,33.5,40.67,58.17,13.5,12.83,27.33,22.83,37.33
