asset,2024-03-01,2024-03-04,2024-03-05,2024-03-06,2024-03-07,2024-03-08,2024-03-11,2024-03-12,2024-03-13,2024-03-14,2024-03-15,2024-03-18,2024-03-19,2024-03-20,2024-03-21,2024-03-22,2024-03-25,2024-03-26,2024-03-27,2024-03-28,2024-03-29,2024-04-01,2024-04-02,2024-04-03,2024-04-04,2024-04-05,2024-04-08,2024-04-09,2024-04-10,2024-04-11,2024-04-12,2024-04-15,2024-04-16,2024-04-17,2024-04-18,2024-04-19,2024-04-22,2024-04-23,2024-04-24,2024-04-25,2024-04-26,2024-04-29,2024-04-30,2024-05-01,2024-05-02,2024-05-03,2024-05-06,2024-05-07,2024-05-08,2024-05-09,2024-05-10,2024-05-13,2024-05-14,2024-05-15,2024-05-16,2024-05-17,2024-05-20,2024-05-21,2024-05-22,2024-05-23,2024-05-24,2024-05-27,2024-05-28,2024-05-29,2024-05-30,2024-05-31
2.krs Round Desk 1,0,0.83,0,47.17,39.17,14.36,3,8.67,19.5,80.5,29.83,0,0.33,0,40.67,65.34,14.67,7.83,43.34,18.17,0,0,24.5,72.33,31.84,3.83,2,0,58.5,53.84,14.33,0.67,7,67.34,64.17,0,15.67,75.17,51.13,19,22.83,40,17.17,0,13.33,0.33,27.5,67.17,61,0,0.83,9.67,27.17,83,37.17,0,19.17,31.67,62.34,19.84,11,0.5,0,49.17,35.5,0
2.krs Round Desk 2,0,16.33,4.17,49.5,39.67,10.63,0,20.67,1.5,67.17,28.33,0,27.17,0,41,66.17,15,8.17,3.16,32.67,0,0,0.67,72.33,22.5,0,0,0,35.33,54.67,11.99,0,0,68.34,39.34,0,15.83,80.84,52.91,43,16.67,40,17.33,0,13.83,0.33,27.67,67.17,25.67,0,0,15.17,14.5,83.67,20.67,0,29.84,38.67,58.34,19.84,14,0,0,66.17,35.33,26.67
desk 153,78.84,0,77.34,79.84,0.67,83.91,14.5,44,90.03,60.17,59.35,52.67,80.65,80.64,82.67,27.5,42.5,84.34,24,0,0,0,0,64.36,89.02,69.51,79.5,0,0,85.67,0,0,84.17,86.34,68.67,64.67,82.5,82.17,59.17,67.34,60,52.31,0,0,76.34,48.5,60.92,0.33,31.67,0,0,63.2,68.19,79.35,93.18,86.84,76.67,84.84,78.84,0,0,47.51,45,55.34,31.67,73.34
desk 143,0,79.67,34.67,86,0,0,78.17,0,0,69.17,0,83.17,85.51,49.84,0,0,84.34,53.5,0,73.5,0,0,0,53,0,0,72.17,85.34,0,0,0.33,81.84,21.84,68.84,0,0,81.5,0,0,77.5,79.17,0,67,0,78.84,69.67,52.67,4.17,52.67,0,0,75.17,0,54.34,3.83,71.34,45.83,0.67,0,69.34,1,20.17,68.67,0,71.17,0
desk 123,0,80.67,47.84,81.67,50.67,0,91.42,96.1,92.17,93.84,91.95,53.33,90.52,82,22.67,56.17,47.17,66.03,94.88,65.22,0,0,96.25,92.59,97.77,96.94,0,0,81.19,81.34,0,94.35,62.19,96.37,94.04,82.88,0,12.83,81.84,82.83,78.17,65.62,93.13,0,95.98,93.32,98.01,93.85,89.19,0,90.87,93.56,66.84,91.24,71.41,0,66.78,65.45,99.63,95.14,100,0,0,0,13.17,0
desk 151,82.5,83.84,90.75,87.5,82.34,68.84,73.84,79.34,75.51,79.34,75.34,69.17,83.67,85.51,76.67,59.17,71.84,84.17,90.59,81.5,0,0,76.21,84.17,75.67,0,0,0,75.17,91.81,64.17,84.67,79,89.34,75,75.67,83.84,1.83,84.83,43.66,50,76.17,64.5,0,76.5,41.67,91,32.83,29,0,63.5,85.84,76,78.67,26.67,0,21.67,52.5,43.83,86.34,63.34,0,0,92.5,65.33,0
desk 142,0,0,0,41.33,0,29,55.33,34.17,42.17,0,0,0,0,79,72,50.67,74.5,0,0,0,0,0,68,72,76.5,65.83,68.83,0,41.33,58.5,75.33,78.67,78.67,59.67,39.67,82.82,61.17,0.5,60.5,64.83,66.83,70,65.17,0,49.5,29.17,55.33,45.33,40.33,0,0,67.5,70.67,66,69.67,72.67,66.33,72.5,51.5,73.83,69.83,69.33,67.33,60.66,50.5,70.83
desk 122,82,0,0,25.83,0,0,0,55.67,83.33,51.33,80.33,42.42,83.42,51.5,14.67,28,78,78.83,74.67,0,0,0,0,44,80,0.67,45.5,0,0,62.33,0,76.17,79.17,79.67,0,0,0,77.83,0,0.33,0.67,40.17,0,0,0,0,83.33,74.17,83.17,0,0,83.17,65.33,85.83,85.83,75.67,81.32,39.83,88.5,0,22.5,0,0,68.5,47.83,0
DEsk 88,45.84,0,24.83,78.34,54.34,22.94,11.5,21.83,76.4,30,0.33,0,47.51,9.67,0,0,55.84,0,7.33,19.33,0,0,26.16,26,62.67,1.67,74.5,28.16,64.84,0,0,0,0,0,0,0,0,0,0,0,0,21.33,13.84,0,69.46,28.45,71.84,30.67,78,0,0,55.17,55.36,87.35,78.17,48.17,83.84,79.79,84.34,44.67,60,84.74,45.4,86.22,14.38,40.5
desk 150,0,74.34,73.5,77.47,49.79,70.5,82.5,76,76.08,41.57,50.07,49,80.87,79.5,78.67,50.35,0,0,0,0,0,0,58.1,80.93,71.59,70.51,70.5,79.67,69.5,73.37,79.34,77,80.5,68.67,57.98,0,80.5,2.83,74.27,79.93,67.84,74.5,58.67,0,80.88,76.34,42.17,64.67,68.5,0,0,43.33,72.17,68.84,67.5,71.84,42.67,76.84,73.01,73.39,69,64.5,66.01,71.17,73.17,62.67
desk 135,67,79.67,79.51,79.5,79.34,79.67,80.51,81.34,69.67,79.51,87.71,79.84,80.51,86.34,79.5,80.01,79.67,89.49,73.67,78.34,0,0,55.84,79.33,0,78.67,82.34,80.84,80.5,80.84,81.17,80.67,81.03,71.17,80.51,75.17,79.17,79.51,81,80,82.8,81,0,0,80,40.34,80.51,82.84,73,0,0,83.34,85.67,88.01,88.84,78.84,81.54,83.39,62.84,86.67,84.17,81.34,85.83,79.67,77.34,81.16
desk 121,0,68.33,63.2,62.03,93.53,97.36,0,83.16,98.33,85.84,74.83,44.17,4,75,77.83,28.33,0,0,0.67,0,0,0,0,68.67,38.5,77.33,75.17,82,81.67,81.83,69.5,71.67,83.82,81.33,51.33,0,0,0,76.5,90.67,0,53.33,66.33,0,82.5,0,80.5,57.83,82.33,0,0,77.67,34,70.17,77.67,52.33,82,75,77.17,17.5,0.67,0,88.68,0,55.67,70.83
Desk 8,0,0,0,0,0,0,0,0,0,0,0,0,27.17,0,0,0,0,0,0,0,0,0,0,53.34,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,55.34,0,0,0.33,0,0,0,0
desk 82,48.83,0,0,0,77.67,0.67,35.5,35.34,53,1,0,82.84,75,17,0,0.33,0,0.5,50,35.67,0,0,53.66,81.77,74.84,59.17,79.51,18.34,42.84,77.71,49.17,72.17,27.5,75.34,38.84,49.83,60.84,32.84,77.28,0,46.66,62.91,62.17,0,59.33,24.34,45.5,52.17,35.5,0,0,3.83,52.84,36.67,57.34,0,0,59.34,74.17,87.72,0,51.84,86.01,34,42.5,0.33
Desk 94,0,0,0.83,10.17,52.83,17.5,0.33,24.67,9,78.56,1.5,4.83,23.67,82.17,51.67,0,0,80.5,84.2,0,0,0,72.17,73,76,79.5,1.83,51.34,18.83,58.87,0,0,51.34,0,69.32,0,0,80.34,6.67,66.44,0,94,0,0,0,78.84,80.81,0,0,0,76.5,0.5,0,83.84,55.29,0,86,15,0,79.84,70.83,0,43.88,72.5,66,0
desk 144,82.67,84.5,82.17,84.33,78.67,78.5,83.83,78.84,83.83,84.5,83.33,80.67,70.5,80.17,63.67,83.17,84,48.67,0,0,0,0,0,0,0,0,85.17,78.17,71.5,84,83.83,21.33,18.5,82,72.33,0,77,0,0,84.83,83.33,84,63.83,0,0,0,84.17,67.5,70.83,0,0,79.67,86.5,84.67,83.17,74.67,37.5,82.83,59.33,80.17,69.16,48.17,80.5,82.33,71.16,63
desk 134,78.98,78.67,76.84,79.5,80.43,79.01,78.17,79.39,80.38,80.37,80.03,81.17,80.33,74.01,79.97,79.84,80.11,77.84,79.92,80.34,0,0,79.53,78.5,76.34,79.17,80.65,79.64,73.67,78.84,79.95,79.92,5,79.74,80.17,83.89,80.03,80.19,79.84,77.34,73.67,80.14,71,0,80.27,77.67,76.17,80.06,79.06,0,0,81.01,81.01,80,79.99,79.84,80.45,77.67,79.5,77.34,80.25,51.56,79.88,83.67,72.83,80.17
desk 124,74.67,78.17,77.5,81.42,58.91,68.01,86.51,82.3,67.5,82.17,79.51,82.67,53.17,83.17,2.17,43.5,82.34,34.59,21.67,0,0,0,81.18,79.67,86.83,72.17,74.67,80.51,77.34,59,50.17,90.9,80.17,44.84,79.17,52.67,79.33,80.01,2.17,1.83,37.67,52,0,0,82.34,0,60,80.17,76.84,0,0,29.67,75.17,90.04,77.34,60.06,80.84,80.01,81.01,89.22,73.17,59.19,62.84,90,53.82,0
Desk 7,0,0,80.84,81.34,81.34,0,0,79.13,80.96,0,0,0,79.34,82.42,0,0,0,0,0,0,0,0,0,83.34,0,0,0,86.17,81.17,84.5,0,0,0,80.17,83.17,0,0,0,0,0,0,0,0,0,0,0,0,77,75.34,0,0,0,78.84,0,80.34,0,0,81.34,73.67,83.67,0,0,81.17,56,0,0
Desk 55,0,80.51,81.84,0,36,40.84,79.5,81.17,52.34,84.17,5.83,59.34,45.67,76.17,56.34,0,38.67,57.34,78.5,67.01,0,0,76.5,87.17,0,0,84.84,81.84,83.67,0,0,77.84,79.01,65.84,0,0,0,0,39.5,0,0,0,0,0,36.17,0,0,43.34,24.67,0,0,70,49,72.84,78.17,0,30.33,56,82.21,84.34,80.17,85.33,79.83,81.84,79.83,0
DEsk 5,0,0,89,85.17,89.85,0,0,82.5,80.5,68,0,0,91.5,87,0,0,0,66.67,98.04,0,0,0,0,89.17,84.83,0,0,82.5,86.33,83.17,0,86.67,90.17,92.33,0,0,0,0,0,81.5,86.84,89.17,0,0,82.17,0,0,34.33,0,0,0,0,82.67,81.83,72.17,0,84.83,0,81.67,0,0,61.5,86.5,84.34,0,0
desk 83,0,0,0,12,47.17,79.17,0,0.33,12.33,45.84,0,1.17,48.34,1.5,32,42.5,1,48.5,72.01,44.83,0,0,0,76.34,98.08,1.67,0,0,50.34,42,18.33,0.83,0.5,1.67,11.83,68,0,0,51.66,38.33,0,86.67,7.83,0,18.17,0.5,0,0,25,0,0,53.83,15.33,44.67,20.5,0.83,0,25.33,44.5,38.67,0,0,8.17,21.5,0,0
Desk 95,0,7.5,78.17,0,45.17,0,6,0,0,0,43.67,17.5,0,0,85.5,19.83,76,0,8.5,0,0,0,51.17,3.5,71.17,0,40,0,0,0,0,0,0,20.84,0,0,47.17,0,49.84,30.12,14.67,0.33,0,0,2.83,0.5,0,0,68.84,0,0,24.5,0,66.51,0,0,42.67,18,0,75,0,76,0,0.67,26,15.66
desk 145,0,0,0,32.67,0.33,71,69.33,80.83,41.17,56.67,60.83,81.5,81.67,44.5,0,0,11,13.33,15.5,0,0,0,73.66,59.83,52.33,0,10,40.67,0.33,0,0,0,0,0,0,0,0,0,0,0,0,72.47,54.5,0,89.64,50.67,0,34.33,0,0,0,81.5,0,53.67,47.83,0,43.33,0,61.17,0,0,0,0,0,0,0
desk 139,0,54.67,46.5,81.33,0,0,13.17,0.5,58.83,0,0,0,0.33,0,0,0,0,0,72.5,0,0,0,0,41.19,1,0,0,0,0,0,0,0,13.67,58.33,56.83,0,0,0,0,0,14.66,39.33,0,0,58.83,0,32.17,80.33,69.98,0,0,0,34.51,85.84,73.17,0,73.5,52.33,81.83,55.5,1.17,0,51,0,22.66,0
desk 125,70.67,83.17,90.13,83.17,0,55,80.51,61.65,86.81,82.51,68.84,47.17,12,45.51,73.67,25,52.54,11.5,2.33,0,0,0,27.33,38.33,79.84,55.17,0,51,73.67,60.34,0,90.67,0,0.33,72.84,0,0,0,93.17,84.5,11.17,46.51,82.59,0,52.34,43.51,83.51,82.84,75.84,0,11.17,0,18,87.01,1.17,82.34,80.84,55.5,70.01,90.33,76.83,75.01,76.34,79,42.5,0
Desk 74,0,0,47.84,0,76.67,0,0,0,52.83,0,0,0,0,0,58.67,0,0,0,21.67,3.33,0,0,0,0,0,0,0,35.67,10.84,0.83,0,79.34,34,0,0,0,0.83,20.33,13.5,2,0,0,0,0,21.67,0,0,15.83,0,0,0,1.83,0,10.33,3.67,0,0,7.17,6.33,34.67,0,48.84,29.58,4.83,2,0
DEsk 6,0,0,81.59,81.92,82.42,0,0,0,0,0,0,0,82.01,79.34,0,0,0,39.14,71.17,0,0,0,0,82.01,0,0,0,0,78.51,84.05,0,0,83.36,83.18,80.34,0,0,82.82,49.81,82.51,0,0,0,0,54.76,0,0,80.67,76.67,0,0,85.2,0,78.84,0,0,0,74,71,82.64,0,0,0,74.34,81.84,0
Desk 76,0,0,0.5,13.17,6.33,0,0,79.23,0,73.84,77.12,79.88,22.5,0,50.5,8.67,0,78.5,45.67,62.84,0,0,26.5,19.02,55,43.67,74.84,46.34,72.17,78,0,56,9.83,16,86.77,56.33,52.67,0,56.34,67.83,64.43,95.06,54.83,0,68.06,40,49.67,17,10.67,0,0,81.34,0,43.33,84.17,82.17,86.49,51.67,91.15,58.5,87.17,82.5,36.17,34.83,44,0
Desk 10,0,84.34,88.67,82.84,65.5,0,1.33,0,0,0,0,0,13.83,45,0,77.49,0,79.46,79.46,0,0,0,0,0,90.08,91.4,0,0,0,0,0,0,0,0,0,0,0,77.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.67,0,47.5,6.83,0
desk 84,0,61.33,27.83,0,77.67,0,62,81,0,0,0,69,0,50.67,58.67,0,75.5,38.67,33.17,0,0,0,0,0,0.33,50,45.17,46.67,29,0,34,20.5,0,42.33,79.84,1.33,0,33.67,58.5,50.83,0,45.5,40.5,0,44.5,0,65.17,0,0,0,0,0,67.17,73.51,56.67,42.34,72,80.5,4.5,41.5,41.83,0,70.67,0,65.67,36.16
Desk 93,0,5.33,0,33.83,40.17,0,30.84,0.83,35.17,83.67,82.67,27.67,0,0,0,0,86.4,72.84,49.17,73.84,0,0,48.83,12,0,14.67,1.33,0,0,0,0.83,0.33,3.33,13,0,0,0,0,0,0,0,75.5,72.84,0,58.17,0,74.67,0,0,0,5.17,0,0,28.33,62.96,0,0,0,0,0,0,0,0,41.33,53.38,0
desk 136,0,84.28,0,26.83,0,0,0,0,77.84,50.17,75.51,74.34,74.17,77.67,14.67,0,62.78,0,0,64.67,0,0,0,0,0,0,82.67,0,57,0,0,83.94,6.17,0,73.67,0,48.84,0.33,0,48.17,63,76.67,0,0,0,0,0,78.17,62.34,0,0,82.71,57.17,73,65.01,0,0,49.67,48.17,55.17,0,55.76,65.01,41.24,64.5,0
desk 138,0,21.5,44.31,11.98,17.5,0,40.11,40.67,76.76,28.76,76.34,27.5,20.67,0,52.33,44.67,81.35,78.01,70.67,0,0,0,58.3,28.17,81.84,0,63.34,53,23.83,0,0,28.33,87.84,0,57.67,37.5,62,40.17,0,7,60.83,56.67,80.62,0,78.44,14.17,23.17,30.17,64.73,0,0,54,78.17,9.5,57.67,74.67,81.82,23.83,49.5,85.14,0,16.67,3,61.67,0,56.34
desk 126,0,77.34,84.67,85.67,80.34,27.84,76.51,51.84,93.55,79.34,69.01,25,61.36,41.46,3.83,34.84,80.01,88.39,7.33,0,0,0,79.31,40.46,83.51,73.18,1,28.17,0,84.51,0,0,56.51,0,0,0,0,0,84.72,79.34,70.5,35,0,0,82.95,12.17,91.41,66.73,79.34,0,0,80.66,53.51,87.96,87.62,73.51,36.57,64.17,34.67,74,0.5,0,85.98,78.5,81.5,0
2.krs Round Desk 3,55.34,63.5,0.67,0.83,7.83,73.17,77.67,48.5,88.5,0,0,82.84,88.51,76.17,86.17,36,67.5,90.16,62,82.17,0,0,83.94,42.84,68,0.08,80.34,90.84,0,73.17,0.13,72.81,86.85,41,98.67,0,64.3,0,82,0,0.33,77.67,53.58,0,0,23,41.17,22.84,0,0,73,0,81.98,0,52.67,68.5,88.27,25.67,1.5,49.67,83.34,18,0,87.37,11.84,1
DEsk 25,0,67.5,80.5,43.83,0,0,82,50.5,0,78.17,0,0,0,83.67,0,0,81.33,58.17,81.17,0,0,0,81.33,74.83,31.17,0,0,80.83,85.17,0,0,0,85.83,95.12,64.38,0,0,85,84.83,85.5,0,83.67,0,0,0,0,88.67,81.83,53.33,0,0,94.73,53.9,91.83,0,0,0,85.5,0,86,91,0,85.83,61,68.67,86.83
New desk1,0,75.85,0,0,0,0,0,11.13,0,60.33,0,12.33,54.17,3.17,6.67,0,0,6,44.5,45,0,0,55,0,0,2.33,58.67,13.67,63.84,31.83,0,0,0,0,0,0,22.67,53.01,56.64,48.67,0,62.84,9,0,58.67,0,72.84,44,83,0,0,27.67,39.33,18.17,82.17,0,72.5,55.33,0,82,28.5,54.5,42,41.33,77.17,0
Desk 3,0,82.42,81.26,81.43,0,0,78.96,59.64,75.64,0,0,0,79.17,75.84,0,0,83.39,60.22,0,0,0,0,0,80.61,0,0,59.5,77.48,42.5,0,0,70.68,0,0,0,0,0,0,0,80.58,0,0,67.94,0,0,0,0,0,80.83,0,0,76.69,51.36,75.87,0,0,0,0,80.08,0,0,0,0,79.96,0,0
desk 77,74.67,70.5,0,0.67,0,0,74.67,82,87.83,70.67,79.5,0,0,81.17,0,54,0,20.83,1,0,0,0,0.33,69.5,0,0,0.33,0.33,50.67,0,0,0.33,0,6,31.33,23.5,23.33,0,0,38.2,23.83,79.67,2.83,0,4.48,0,53.17,0.83,7.67,0,0,11.67,0.34,23.33,67.5,80.01,66.67,68.34,66.17,77.17,26,50.5,60.17,37.83,0,0
Desk 9,0,84.17,88.17,91.02,65.33,0,0.33,0,0,0,0,0,13.5,19.05,15.33,79.39,0,0,56.58,0,0,0,0,0,90.46,91.29,0,3,0,0,0,0,0,0,0,0,0,0,40,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,55.5,0,0,0,0,0,0,0,0,0,0,0,0
Desk 91,79.6,49.78,79.29,79.79,49.13,69.8,57.65,0,77.83,0,47,51.85,73.52,77.69,74.03,0,0,77.22,56.72,74,0,0,78.58,3,77.93,72.67,62.5,82.61,78.62,75.83,0,78.14,0,69,53.32,70.16,75.68,0,80.02,80.02,0,79.17,0,0,3.67,77.5,76.5,78.5,3,0,77,80.67,82,52.5,87.17,72.33,77.16,74.67,77,80.83,84.99,55.67,78.5,85.66,41.66,58.33
Desk 96,18.5,39.67,49.5,20.33,15.17,24.83,36.84,21.33,59.17,47.5,0,0,0,28.17,0,0,0,0,0,0,0,0,23,9.84,32.34,24.1,8,0,0,0,0,53.84,30.5,52.67,28.67,0,5.17,0,27.33,25.5,0,17,10.5,0,50.17,0,35.17,53.33,0,0,0,0,0,7.17,1.5,0,7.5,36.83,17.17,26.67,0,59.33,11.5,60.67,72.33,0
desk 137,75.48,58.67,82.96,64.78,34.78,48,0,0,0,0,0,26.7,31.03,71.19,72.02,78.17,69.99,18.5,70.64,0,0,0,57.94,75.43,30.5,68.67,0,42.23,63.39,55.88,61.84,71.5,67.67,53.84,39.66,69,75.64,78.47,68.17,44.29,51.17,0.83,74.92,0,73.58,41.9,57.05,0,74.17,0,0,72.84,72.66,71.84,7.17,0,80.62,62.78,0,73.27,75.6,0,0,75.06,0,0
desk 131,0,0,42,62.57,0,42.5,0,0,80.34,44.17,0,42.5,78.99,0,51.84,0,0.33,0,78.17,0,0,0,58.17,40.91,45.33,49.39,13.83,0,0.67,57.5,0,84.5,0.5,71.16,32.67,79,0,0,75.84,82.78,0.33,49.92,75.34,0,48.33,0,34.5,72.5,79,0,85.01,79.34,81.84,49,83.34,85.31,85.17,55.5,51.62,67.27,0,74.5,82.58,79.5,51,0
desk 156,0,0,80.84,79.67,80.17,0.33,0,85.22,80.5,72,75.84,0.67,0,1.17,0.83,0,20.33,0.33,0.33,0,0,0,81.5,80.17,79.84,74.01,0,83.17,74.84,80.67,0,0,77.68,80.34,81.67,0,0,73,62.34,81.34,0,35.67,78.17,0,80.84,81.34,84.81,95.37,76.51,0,7.83,83.51,77.67,89.67,84.17,5.5,92.33,78.67,82.48,76.84,8.67,82.76,80.17,67.67,38.34,73.17
2.krs Desk 8,0,0,0,0,0,0,0,0,0,0,0,0,0,48.17,0,0,0,56.17,0,0,0,0,0,1,0,0,0,11.84,0,0,0,1,0,54.34,0,0,0,0,1.33,0,0,0,0,0,33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0
DEsk 36,0,77.33,62.83,65.5,23.19,0,76.66,67.83,83.73,11.83,0,44.33,73.5,49.28,0,0,0,50.5,50.33,0,0,0,35.83,26.33,48.38,1.67,46.67,78.33,0,72.92,0,50.83,0,45.67,0,0,64.66,50.83,0,67.17,0,51.83,0,0,15.67,10.33,16.5,22.17,0,0,0,0,59.83,6.5,0,0,82.33,51.5,0,28.17,0,0,27.33,84.67,48.33,24.67
Desk 67,75.33,83.25,76.09,79.67,0,74,81.61,76.78,0,66.33,80,83.31,76.81,80,0.5,83.99,81,77.01,83.33,0,0,0,79.53,85.87,0,84.05,82.06,87.33,77.73,0,83.74,69.75,76.93,66.43,0,79.17,75.33,76.45,71.83,0,83.83,80.67,71.67,0,0,76.66,83.51,47.33,75.83,0,0,81.7,75.87,84.04,0,64.5,80.16,75,83.9,73.17,79,79,82.83,0,0,0
DEsk 26,0,0,0,0,0,0,0,0,0,0,0,64.67,0,69.5,0,0,0,0,0,0,0,0,0,0,78.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Desk 49,0,38.34,82.84,52.51,80.5,75.67,76.17,76.01,81,81.67,75.34,68.5,64.34,87.51,81.67,76.17,40.84,85.5,40,28.33,0,0,52.84,51.83,56.34,74.34,72,83.17,53.17,51,0,39,75.01,84.5,80.84,55.17,52.5,0,12.16,56.36,46.12,78.17,48.84,0,74.34,39.17,62.36,83.17,57.17,0,67,79.79,81.61,71.17,81.34,44.33,88.84,81.34,70.17,82.67,42.67,49.31,82.51,41,55.34,0
Desk 2,0,0,80.67,80.51,55,0,0,0,0,79.67,79.51,0,80,0,0,80.84,0,57.81,81.84,0,0,0,79.67,79.34,0,0,0,71.5,80.86,77.84,0,0,80.17,70.67,76.34,0,0,80.1,77.5,81.26,0,0,0,0,0,0,0,79.67,80.83,0,0,0,83.61,81.77,79.27,0,80.5,80,73.67,0,0,79.67,0,76.67,78.67,0
